ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;61;4;G1F17Q9C;01;;1;
3;59;6;G1F17Q9C;02;;2;
3;65;4;G1F17T1C;01;;1;
1;61;5;G1F17T1C;02;848;2;2
3;65;5;G1F17VTC;01;;1;
3;64;6;G1F17VTC;02;;2;
3;52;6;G1F17YLC;01;;2;
1;54;4;G1F17YLC;02;;1;1
2;23;5;G1F17YLC;03;;1;
1;48;5;G1G1745C;01;1800;1;1
1;45;5;G1G1745C;02;408;2;2
3;17;6;G1G1745C;03;;1;
2;51;5;G1G176XC;01;;2;
1;52;4;G1G176XC;02;2700;1;1
3;43;5;G1G179PC;01;;2;
1;48;5;G1G179PC;02;2500;1;1
3;18;5;G1G179PC;03;;1;
3;44;6;G1G17CHC;01;;2;
1;49;5;G1G17CHC;02;;1;1
2;18;6;G1G17CHC;03;;2;
1;52;4;G1G17F9C;01;4000;1;1
1;41;3;G1G17I1C;01;;1;1
1;39;4;G1G17I1C;02;;2;1
1;49;5;G1G17KTC;01;1906;1;1
1;35;6;G1G17NLC;01;;1;1
1;39;3;G1G17NLC;02;;2;1
3;67;7;G1G17QDC;01;;1;
3;67;7;G1G17QDC;02;;2;
3;65;5;G1G1CQXC;01;;1;
3;63;7;G1G1CQXC;02;;2;
1;37;3;G1G1CQYC;01;2713;2;2
1;32;5;G1G1CQZC;01;2000;1;1
1;44;4;G1G1CR0C;01;2600;1;1
2;46;4;G1G1CR0C;02;;2;
1;36;4;G1G1CTPC;01;2500;1;1
1;27;5;G1G1CTQC;01;2300;1;1
3;26;3;G1G1CTQC;02;;2;
1;37;5;G1G1CTTC;01;2200;1;1
3;59;7;G1G1CTUC;01;;1;
3;53;7;G1G1CTUC;02;;2;
3;69;5;G1G1CWHC;01;;2;
1;36;5;G1G1CWIC;01;1650;1;1
3;15;7;G1G1CWIC;03;;2;
1;38;1;G1G1CWKC;01;2080;1;1
1;27;4;G1G1CZ9C;01;2000;1;1
3;25;5;G1G1CZ9C;02;;2;
1;23;5;G1G1CZAC;02;1100;2;1
1;42;3;G1G1CZCC;01;2726;1;1
3;39;3;G1G1CZCC;02;;2;
3;21;4;G1Q1H3PX;01;;2;
3;78;7;G1Q1H3QX;01;;2;
1;52;7;G1Q1H3QX;02;1200;1;1
1;35;5;G1Q1H3RX;01;1400;2;1
1;39;1;G1Q1H3RX;02;;1;3
1;26;1;G1Q1H3SX;01;1200;1;1
1;30;3;G1Q1H3UX;01;275;2;2
2;41;5;G1Q1H3VX;01;;1;
1;30;1;G1Q1H3YX;01;;2;1
1;64;1;G1Q1H42X;01;;1;3
3;84;7;G1Q1H43X;01;;2;
3;81;4;G1Q1H6HX;01;;2;
3;74;6;G1Q1H6JX;01;;1;
1;41;3;G1Q1H6LX;01;2500;1;1
1;21;4;G1Q1H6RX;01;1260;2;2
1;26;1;G1Q1H6RX;02;;1;1
3;84;7;G1R1ML1X;01;;2;
1;59;1;G1R1ML3X;01;5964;1;1
1;60;4;G1R1ML3X;02;53;2;2
3;79;7;G1R1ML4X;01;;2;
3;83;7;G1R1ML5X;01;;2;
3;61;7;G1R1ML6X;01;;1;
3;61;7;G1R1ML6X;02;;2;
